数量,ISBN,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版
2,9.78711E+12,,,“有机”的秩序与“材料的本性”——弗兰克·劳埃德·赖特,56,中国建筑工业出版社,汤凤龙（著）,Jun-15,,,,　　《“有机”的秩序和“材料的本性”：弗兰克·劳埃德·赖特》是“西方现代主义建筑大师理论研究丛书——‘秩序与建造’系列之一，按草原式住宅、混凝土块系列住宅、美国风住宅及赖特公共建筑的顺序对赖特毕生的建造秩序演绎进行全景式扫描，从而将赖特丰富而独特的建筑创造精髓呈现出来。,,,
1,9.78711E+12,,,20世纪世界建筑史,180,中国建筑工业出版社,威廉 J·R·柯蒂斯（著）,Dec-11,,,,《20世纪世界建筑史》（ModernArchitecturesince1900）现在已经成为关于20世纪建筑的标杆性著作。它在视野上具有真正的全球性，并把现代建筑传统的总体发展历程和对建筑个案的精湛分析与解读，在论述中完美地融合在一起。作者采用一种整体的方式，融合了实践、美学和社会等多个维度一但是其重点仍然是在艺术的形式与象征层面。这本书处理的是如何以建筑学的方式来对理念进行表达。在这一新版本中（本书1982年第1版，本版为第3版，1996），作者对文字做了大幅的修订和扩展，纳入了许多关于现代建筑的范围与复杂性的新知识与新评断。本版共增加了7章，其中第4篇的3章论述了近几十年来世界范围内的最新发展。这就避免了那种时髦的修辞学论述方式，而是将当代建筑置入更为广袤的历史和文化视野中。本版还新增了许多彩色和黑白的插图、大量的平面以及其他图纸。参考文献和注释也进行了扩展与更新。正如哈佛大学的詹姆斯·阿克曼（JamesAckerman）教授所言，作为“目前研究这一领域的最佳著作”，这本书具有长远的历史眼光，将现代建筑与各种更早的传统相联系起来，展示了那些不朽的原则如何被持续演绎。它已经当之无愧地被称为一部“经典”著作。,,,
3,9.78752E+12,,墩子2 书架1,B代表包豪斯：现代设计私人词典,69,东方出版社,迪耶·萨迪奇,Jun-20,,,,本书被誉为现代设计大师课。 全书按从A到Z的顺序，用26个品类串起跨越近百年的设计流变，勾勒出现代设计的渊源和发展历程。其中讨论了人们对收集的痴迷，对真实性的追求，以及对美和认同感的创造。全书由多篇文章组成，话题涉及现代文化和设计的方方面面，比如谈到了希区柯克的电影布景，谈到了装饰，谈到了时尚和技术，谈到了在现代之都维也纳喝马丁尼，也谈到了我们为什么珍视不完美。 萨迪奇学识渊博，犀利幽默，写作个人风格强烈，看似信手拈来，其实编排精当，围绕着现代设计和现代艺术的历史、理念与众多有趣的人物展开。同时，由于加入了作者的个人故事，全书更富有趣味，轻松易读。,,,
3,9.78752E+12,,墩子2 抽屉1,C城市的语言 The Language of Cities,59.04,东方出版社,迪耶·萨迪奇,May-20,,,,,,,
3,9.78751E+12,,,Cecil Balmond，塞西尔·巴尔蒙德,238,中国电力出版社,《建筑与都市》中文版编辑部,Jan-08,,,,本书是《建筑与都市》中文版发行三周年纪念特别专辑，该书收录了结构工程师塞西尔·巴尔蒙德的多篇作品，具体内容包括“主要作品的三维模块”“网格”“数字”“AGU(高级几何部门)”“巴特西发电站改造”等。该书可供各大专院校作为教材使用，也可供从事相关工作的人员作为参考用书使用。,,,
1,9.78752E+12,,,d design 爱知,118.67,中信出版社,长冈贤明,Apr-19,,,,国内首部专门介绍日本爱知的生活旅行书！   爱知县，赋予“造物者”勇气的福运之地，日本制造业的中心。名企丰田诞生于此，咖喱Coco壹番屋、人气比肩星巴克的Komeda咖啡，都从爱知走向世界。  去伊良湖岬角的绝美酒店咖啡厅体验爱知的文艺。面向蔚蓝无垠的大海，点一杯咖啡，眺望三岛由纪夫的小说《潮骚》故事发生的舞台神岛。没有普通咖啡厅的喧嚣，绝美的景色让所有人都失语了；只想在此亲历晨昏昼夜，看太平洋的日出，目睹夕阳从伊势湾缓缓沉入海中。 国内首部专门介绍日本爱知的生活旅行书！   爱知县，赋予“造物者”勇气的福运之地，日本制造业的中心。名企丰田诞生于此，咖喱Coco壹番屋、人气比肩星巴克的Komeda咖啡，都从爱知走向世界。  去伊良湖岬角的绝美酒店咖啡厅体验爱知的文艺。面向蔚蓝无垠的大海，点一杯咖啡，眺望三岛由纪夫的小说《潮骚》故事发生的舞台神岛。没有普通咖啡厅的喧嚣，绝美的景色让所有人都失语了；只想在此亲历晨昏昼夜，看太平洋的日出，目睹夕阳从伊势湾缓缓沉入海中。  奉德川家康之命建成的名古屋城，是当地市民喜爱的城市地标，屋檐上的金鯱，闪耀着战国时代的荣光。日本招财猫的著名产地常滑市，街头巷角各式“萌猫”出没，送出满满的好运和惊喜——历史和民艺在此交汇出灿烂多彩的文化。  李宗盛、蔡康永、深泽直人诚意推荐，d设计之旅中文版第二弹：去名古屋所在地爱知县、新海诚《你的名字》取景地岐阜县——与“长效设计之父”长冈贤明带队的d编辑部一起出发，用“设计的眼光”去旅行，踏上日本中部地区的d设计之旅！,,,
2,9.78751E+12,,,d design 冲绳,58,中信出版社,长冈贤明,Nov-18,,,,★重新发现日本！47个都道府县的风土底蕴和设计新潮。《d设计之旅》系列一册一地，展现日本地域之美。兼具实用与美感的深度旅行指南，李宗盛、蔡康永、青山周平都在看！ ★融入当地人视角，扎实采访制作，细腻呈现隐藏在深处的冲绳：仿佛悬浮在亚热带森林中、安心又惬意的陶器咖啡店，美到令人窒息的琉球民居，居酒屋里的地道民谣、泡盛和三线，冲绳雅士的老牌网红店，建在珊瑚礁上、能听到海风的茶屋 冲绳的一切美好，都在这本书里了。 ★琉球、美国、日本元素的奇妙交织，迷人的多元文化融合：一度被迫遗忘和封存的琉球文化，在舞蹈、民谣和美酒中复活；被柳宗悦誉为 琉球之美 的古民居，集冲绳的设计精华和温情于一身；比美国当地还正宗的冰淇淋、塔可、绣章，已渐渐在冲绳扎根 设计就根植于生活的细节里，注意到细节，也,,,
5,9.78751E+12,,,d design 东京,58,中信出版社,长冈贤明 编；曾雯丝 译,Dec-18,,,,编辑推荐： ★深度发现日本！47个都道府县的风土底蕴和设计新潮。兼具实用与美感的深度旅行指南，李宗盛、蔡康永、青山周平都在看！ ★永远充满新鲜感的创意之都，古老江户与国际化东京的无数个生活细节叠加：深泽直人亲自挑选全球设计好物并撰写说明的杂货店，三岛由纪夫钟爱的东京深夜隐秘归处，约翰 列侬常去的老字号，隐藏在G-mark获奖建筑里的茶室，新宿地下铁内治愈人心的迷你咖啡餐吧 ★在设计常沦为浮于表面造型的当下，《d设计之旅》所呈现的每一处设计细节，都蕴含着深层的日本文化精髓和日积月累的情感：将品质与服务追求到极致的传统钱汤，闹市区即将消失的老建筑改造成的创意街区，美式建筑与日式柔情融合的山顶酒店。 ★从80年代奢华前卫的咖啡酒吧，到90年代憧憬欧美文化的法式咖啡馆，再到2000年后融入日,,,
1,9.78752E+12,,,d design 福冈,85,中信出版社,长冈贤明,Aug-19,,,,国内首部专门介绍日本福冈的旅行生活书！福冈，来了就不想离开的文艺休闲之都。既是九州的政治经济文化中心，也是被山川湖海包围的自然之城。人文与自然交融的独特环境，造就了福冈悠然缓慢，既开放又包容的城市性格。英国高端生活杂志Monocle评选的“全球*宜居城市Top25”排行榜中，福冈已经连续多年位列前10名，是一座与成都一样闲适自在、有着独特生活节奏的城市。来到福冈的旅行者，在感受博多祗园山笠节、西日本大濠花火大会热闹气氛的同时，也可以在午后的街头驻足，静静感受从边界线唱片店的黑胶唱片中流淌出的经典旋律。旅行*重要的事情就在于体验，福冈本土风物孕育而成的文化含蓄而深邃，更需要旅行者通过沉浸式的旅行方式深入探寻。当夜幕降临，穿过霓虹灯闪烁的中洲，与当地人一起围坐在屋台中，品尝*接地气的博多拉面、烤明太子、关东煮、牛杂锅等夜市必备料理，沉醉在福冈浓郁迷人的市井气息里。当地人是与一座城市迅速建立联系的纽带，通过热血赤诚的福冈人，来到这里的每一个人都能充分感受到这座城市背后的自在与人情。国内首部专门介绍日本福冈的旅行生活书！福冈，来了就不想离开的文艺休闲之都。既是九州的政治经济文化中心，也是被山川湖海包围的自然之城。人文与自然交融的独特环境，造就了福冈悠然缓慢，既开放又包容的城市性格。英国高端生活杂志Monocle评选的“全球*宜居城市Top25”排行榜中，福冈已经连续多年位列前10名，是一座与成都一样闲适自在、有着独特生活节奏的城市。来到福冈的旅行者，在感受博多祗园山笠节、西日本大濠花火大会热闹气氛的同时，也可以在午后的街头驻足，静静感受从边界线唱片店的黑胶唱片中流淌出的经典旋律。旅行*重要的事情就在于体验，福冈本土风物孕育而成的文化含蓄而深邃，更需要旅行者通过沉浸式的旅行方式深入探寻。当夜幕降临，穿过霓虹灯闪烁的中洲，与当地人一起围坐在屋台中，品尝*接地气的博多拉面、烤明太子、关东煮、牛杂锅等夜市必备料理，沉醉在福冈浓郁迷人的市井气息里。当地人是与一座城市迅速建立联系的纽带，通过热血赤诚的福冈人，来到这里的每一个人都能充分感受到这座城市背后的自在与人情。不同于一般的旅行指南，《d设计之旅》系列以“设计”为切入点，日本47个都道府县，一地一册，东京、京都、奈良、冲绳、福冈……深入采访当地的音乐家、摄影师、艺术家、独立店主，捕捉日常生活中极易被人们忽视的设计细节，用“设计的眼光”深入探寻地方的风土之美。李宗盛、蔡康永、深泽直人诚意推荐的旅行生活书，带你重新发现日本！,,,
6,9.78751E+12,,,d design 京都,58,中信出版社,长冈贤明,May-18,,,,★《d设计之旅》是京都深度游、人文游、风物游的旅行美学书，由李宗盛、蔡康永、深泽直人诚意推荐！美食、民艺、匠人、名园、老铺、祭典、风俗人情 缓缓展开千年古都的精致和诗意，细腻呈现了有生活况味的京都风情。 ★《d设计之旅：京都》又是一部视角别致的地道风物志。京都是一座韵味无尽的风格之城，需融入生活日常才能生发美妙感受，仅到清水寺、金阁寺热门景点一游的匆匆过客，难以理解它的丰富和美好。为探寻京都风格，日本人气编辑组驻地采风，走遍街头小巷，以团队之力细选地道风物，从秘境风景、传统美食、町家老屋，到个性独立书店、小小美术馆、百年茶屋、老咖啡馆、传奇匠人刀具店、紫苏田前的酱菜老铺 这些精选之地的每一处细节，都能唤醒我们内心美的意识。 ★京都的魅力，就蕴含在京都人的工作中。厨具匠人店 有次,,,
